date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-12-04,Zansec Bond Fund,119.2085,119.2085,119.2085,zansec,extracted,24579570148.88,206189744.43
2025-12-03,Zansec Bond Fund,119.149,119.149,119.149,zansec,extracted,24559608135.19,206125172.14
2025-12-03,,119.149,119.149,119.149,zansec,extracted,24559608135.19,206125172.14
2025-12-03,Zansec Bond Fund,119.149,119.149,119.149,zansec,extracted,24559608135.19,206125172.14
2025-12-03,Zansec Bond Fund,119.149,119.149,119.149,zansec,extracted,24559608135.19,206125172.14
2025-12-02,Zansec Bond Fund,119.11,119.11,119.11,zansec,extracted,24505324274.99,205736917.77
2025-12-02,,119.11,119.11,119.11,zansec,extracted,24505324274.99,205736917.77
2025-12-02,Zansec Bond Fund,119.11,119.11,119.11,zansec,extracted,24505324274.99,205736917.77
2025-12-02,Zansec Bond Fund,119.11,119.11,119.11,zansec,extracted,24505324274.99,205736917.77
2025-12-01,Zansec Bond Fund,119.0606,119.0606,119.0606,zansec,extracted,24518505549.81,205932991.69
2025-12-01,,119.0606,119.0606,119.0606,zansec,extracted,24518505549.81,205932991.69
2025-12-01,Zansec Bond Fund,119.0606,119.0606,119.0606,zansec,extracted,24518505549.81,205932991.69
2025-12-01,Zansec Bond Fund,119.0606,119.0606,119.0606,zansec,extracted,24518505549.81,205932991.69
2025-11-28,Zansec Bond Fund,118.9002,118.9002,118.9002,zansec,extracted,24283066035.48,204230657.61
2025-11-28,,118.9002,118.9002,118.9002,zansec,extracted,24283066035.48,204230657.61
2025-11-28,Zansec Bond Fund,118.9002,118.9002,118.9002,zansec,extracted,24283066035.48,204230657.61
2025-11-28,Zansec Bond Fund,118.9002,118.9002,118.9002,zansec,extracted,24283066035.48,204230657.61
2025-11-27,Zansec Bond Fund,118.8635,118.8635,118.8635,zansec,extracted,24291213065.03,204362256.41
2025-11-27,,118.8635,118.8635,118.8635,zansec,extracted,24291213065.03,204362256.41
2025-11-27,Zansec Bond Fund,118.8635,118.8635,118.8635,zansec,extracted,24291213065.03,204362256.41
2025-11-27,Zansec Bond Fund,118.8635,118.8635,118.8635,zansec,extracted,24291213065.03,204362256.41
2025-11-26,Zansec Bond Fund,118.8142,118.8142,118.8142,zansec,extracted,24247617087.42,204080127.52
2025-11-26,,118.8142,118.8142,118.8142,zansec,extracted,24247617087.42,204080127.52
2025-11-26,Zansec Bond Fund,118.8142,118.8142,118.8142,zansec,extracted,24247617087.42,204080127.52
2025-11-26,Zansec Bond Fund,118.8142,118.8142,118.8142,zansec,extracted,24247617087.42,204080127.52
2025-11-25,Zansec Bond Fund,118.7549,118.7549,118.7549,zansec,extracted,24225992627.42,203999941.29
2025-11-25,,118.7549,118.7549,118.7549,zansec,extracted,24225992627.42,203999941.29
2025-11-25,Zansec Bond Fund,118.7549,118.7549,118.7549,zansec,extracted,24225992627.42,203999941.29
2025-11-25,Zansec Bond Fund,118.7549,118.7549,118.7549,zansec,extracted,24225992627.42,203999941.29
2025-11-24,Zansec Bond Fund,118.7148,118.7148,118.7148,zansec,extracted,24204668511.4,203889224.52
2025-11-24,,118.7148,118.7148,118.7148,zansec,extracted,24204668511.4,203889224.52
2025-11-24,Zansec Bond Fund,118.7148,118.7148,118.7148,zansec,extracted,24204668511.4,203889224.52
2025-11-24,Zansec Bond Fund,118.7148,118.7148,118.7148,zansec,extracted,24204668511.4,203889224.52
2025-11-21,Zansec Bond Fund,118.5671,118.5671,118.5671,zansec,extracted,23994250446.43,202368536.01
2025-11-21,,118.5671,118.5671,118.5671,zansec,extracted,23994250446.43,202368536.01
2025-11-21,Zansec Bond Fund,118.5671,118.5671,118.5671,zansec,extracted,23994250446.43,202368536.01
2025-11-21,Zansec Bond Fund,118.5671,118.5671,118.5671,zansec,extracted,23994250446.43,202368536.01
2025-11-20,Zansec Bond Fund,118.5185,118.5185,118.5185,zansec,extracted,23980054217.56,202331739.08
2025-11-20,,118.5185,118.5185,118.5185,zansec,extracted,23980054217.56,202331739.08
