source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
zansec,2025-11-03,117.668,117.668,117.668,23203240644.5,197192445.22,extracted
zansec,2025-10-28,117.4064,117.4064,117.4064,23150672952.5,197184079.85,extracted
zansec,2025-10-27,117.3694,117.3694,117.3694,23082429872.77,196664802.52,extracted
zansec,2025-10-24,117.2584,117.2584,117.2584,23129693034.0,197254039.23,extracted
zansec,2025-10-23,117.2214,117.2214,117.2214,23092686887.51,197000606.44,extracted
zansec,2025-10-22,117.1844,117.1844,117.1844,23084328860.11,196991484.02,extracted
zansec,2025-10-21,117.1486,117.1486,117.1486,22885729561.63,195356406.83,extracted
zansec,2025-10-20,117.1105,117.1105,117.1105,22803120094.65,194714565.26,extracted
zansec,2025-10-17,117.0,117.0,117.0,22761541481.33,194543089.58,extracted
zansec,2025-10-16,116.9649,116.9649,116.9649,22472491443.87,192130215.51,extracted
zansec,2025-10-15,116.9279,116.9279,116.9279,20647235584.36,176580915.11,extracted
zansec,2025-10-13,116.854,116.854,116.854,20604482381.24,176326718.65,extracted
zansec,2025-10-09,116.701,116.701,116.701,20493058640.59,175603110.86,extracted
zansec,2025-10-08,116.669,116.669,116.669,20321462164.68,174180477.8,extracted
zansec,2025-10-07,116.63,116.63,116.63,20315825345.95,174190391.37,extracted
zansec,2025-10-06,116.5951,116.5951,116.5951,20321489600.45,174291111.72,extracted
zansec,2025-10-02,116.4471,116.4471,116.4471,20326605973.51,174556566.66,extracted
zansec,2025-10-01,116.4101,116.4101,116.4101,20057717677.8,172302211.56,extracted
zansec,2025-09-30,116.3332,116.3332,116.3332,20014947568.69,172048457.09,extracted
zansec,2025-09-29,116.296,116.296,116.296,20007787590.71,172041923.98,extracted
zansec,2025-09-26,116.185,116.185,116.185,19886648156.02,171163645.53,extracted
zansec,2025-09-25,116.1482,116.1482,116.1482,19846425970.32,170871575.89,extracted
zansec,2025-09-24,116.111,116.111,116.111,19786803567.47,170412825.38,extracted
zansec,2025-09-23,116.0742,116.0742,116.0742,19779286502.24,170402091.96,extracted
zansec,2025-09-22,116.037,116.037,116.037,19515276239.63,168181495.9,extracted
zansec,2025-09-19,115.9263,115.9263,115.9263,19489098359.08,168116280.42,extracted
zansec,2025-09-18,115.8893,115.8893,115.8893,19477329696.78,168068404.04,extracted
zansec,2025-09-17,115.8523,115.8523,115.8523,19729118260.32,170295438.76,extracted
zansec,2025-09-16,115.8162,115.8162,115.8162,18908213627.78,163260525.11,extracted
zansec,2025-09-15,115.7784,115.7784,115.7784,18881208572.99,163080579.56,extracted
zansec,2025-09-12,115.6674,115.6674,115.6674,18361364321.96,158742777.33,extracted
zansec,2025-09-11,115.6304,115.6304,115.6304,18403037678.22,159153974.03,extracted
zansec,2025-09-10,115.593,115.593,115.593,18372067442.45,158937543.3,extracted
zansec,2025-09-09,115.5564,115.5564,115.5564,18260584004.16,158023129.87,extracted
zansec,2025-09-08,115.5198,115.5198,115.5198,18277456865.18,158219256.48,extracted
zansec,2025-09-04,115.3715,115.3715,115.3715,18247157323.4,158160007.66,extracted
zansec,2025-09-03,115.3345,115.3345,115.3345,18334430708.42,158967444.33,extracted
zansec,2025-09-02,115.2975,115.2975,115.2975,18325743148.55,158943109.34,extracted
zansec,2025-09-01,115.2605,115.2605,115.2605,18306857500.5,158830280.11,extracted
zansec,2025-08-29,115.1096,115.1096,115.1096,18256338358.72,158599616.01,extracted
zansec,2025-08-28,115.0726,115.0726,115.0726,18245735959.93,158558474.91,extracted
zansec,2025-08-27,115.0356,115.0356,115.0356,18265230128.59,158778935.64,extracted
zansec,2025-08-26,114.9986,114.9986,114.9986,18256316080.81,158752507.26,extracted
zansec,2025-08-25,114.9616,114.9616,114.9616,18239483844.27,158657185.05,extracted
zansec,2025-08-22,114.8507,114.8507,114.8507,18211655526.49,158568084.71,extracted
zansec,2025-08-21,114.8137,114.8137,114.8137,18207271435.25,158581000.66,extracted
zansec,2025-08-20,114.7767,114.7767,114.7767,18214974178.8,158699232.33,extracted
zansec,2025-08-19,114.7397,114.7397,114.7397,18208447618.19,158693526.46,extracted
zansec,2025-08-18,114.7027,114.7027,114.7027,18202106490.69,158689433.56,extracted
zansec,2025-08-14,114.5548,114.5548,114.5548,18013895761.62,157251339.64,extracted
zansec,2025-08-13,114.5178,114.5178,114.5178,17906183259.76,156361572.26,extracted
zansec,2025-08-12,114.4808,114.4808,114.4808,17900985084.86,156366701.53,extracted
zansec,2025-08-11,114.4438,114.4438,114.4438,17914843279.15,156538347.02,extracted
zansec,2025-08-07,114.2959,114.2959,114.2959,17861865845.95,156277397.93,extracted
zansec,2025-08-06,114.2589,114.2589,114.2589,17899940641.85,156661237.26,extracted
zansec,2025-08-05,114.2219,114.2219,114.2219,17880908367.09,156545359.23,extracted
zansec,2025-08-04,114.1849,114.1849,114.1849,17983016748.24,157490322.7,extracted
zansec,2025-08-01,114.074,114.074,114.074,17970925751.92,157537438.43,extracted
zansec,2025-07-31,113.537,113.537,113.537,17864287574.69,157343311.65,extracted
zansec,2025-07-30,113.505,113.505,113.505,17829543996.03,157081573.46,extracted
zansec,2025-07-29,113.5,113.5,113.5,17730870329.41,156219121.85,extracted
zansec,2025-07-28,113.463,113.463,113.463,17719780990.18,156172329.22,extracted
zansec,2025-07-25,113.3521,113.3521,113.3521,17694962419.16,156106172.0,extracted
zansec,2025-07-24,113.3151,113.3151,113.3151,17685007327.02,156069291.09,extracted
zansec,2025-07-23,113.2781,113.2781,113.2781,17675130902.87,156033080.56,extracted
zansec,2025-07-22,113.2411,113.2411,113.2411,17695318836.69,156262336.17,extracted
zansec,2025-07-21,113.2041,113.2041,113.2041,17643512552.46,155855773.36,extracted
zansec,2025-07-18,113.0932,113.0932,113.0932,17609967771.33,155711994.81,extracted
zansec,2025-07-17,113.0562,113.0562,113.0562,17593656465.67,155618678.73,extracted
zansec,2025-07-16,113.0192,113.0192,113.0192,17526838246.64,155078413.64,extracted
zansec,2025-07-15,112.9822,112.9822,112.9822,17539396269.74,155240349.98,extracted
zansec,2025-07-14,112.9452,112.9452,112.9452,17522115662.52,155138205.63,extracted
zansec,2025-07-10,112.7973,112.7973,112.7973,17471446120.93,154892414.28,extracted
zansec,2025-07-09,112.7603,112.7603,112.7603,17387022838.75,154194542.22,extracted
zansec,2025-07-08,112.7233,112.7233,112.7233,17375336964.09,154141485.96,extracted
zansec,2025-07-04,112.5753,112.5753,112.5753,17348312633.3,154104076.41,extracted
zansec,2025-07-03,112.5384,112.5384,112.5384,17310499412.55,153818602.47,extracted
zansec,2025-07-02,112.5014,112.5014,112.5014,17300064705.57,153776439.28,extracted
zansec,2025-07-01,112.4244,112.4244,112.4244,16878018074.62,150074317.51,extracted
zansec,2025-06-30,112.4272,112.3534,112.3534,16868424906.88,150038646.4,extracted
