date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2025-04-04,Watoto Fund,739.377,731.9832,739.377,utt-amis,extracted,27833551264.7723,37644599.1151
2025-04-04,Jikimu Fund,183.8449,180.168,183.8449,utt-amis,extracted,35191163221.8113,191417631.1115
2025-04-04,Liquid Fund,446.9428,446.9428,446.9428,utt-amis,extracted,1562072920424.75,3495017669.0301
2025-04-04,Bond Fund,120.057,120.057,120.057,utt-amis,extracted,850890485077.935,7087386455.3825
2025-04-04,Umoja Fund,1137.4671,1126.0924,1137.4671,utt-amis,extracted,383752306026.836,337374435.9163
2025-04-04,Wekeza Maisha Fund,1001.1822,981.1586,1001.1822,utt-amis,extracted,21550194952.5854,21524748.5132
2025-04-04,Watoto Fund,739.377,731.9832,739.377,utt-amis,extracted,27833551264.7723,37644599.1151
2025-04-04,Jikimu Fund,183.8449,180.168,183.8449,utt-amis,extracted,35191163221.8113,191417631.1115
2025-04-04,Liquid Fund,446.9428,446.9428,446.9428,utt-amis,extracted,1562072920424.75,3495017669.0301
2025-04-04,Bond Fund,120.057,120.057,120.057,utt-amis,extracted,850890485077.935,7087386455.3825
2025-04-03,Umoja Fund,1137.4465,1126.072,1137.4465,utt-amis,extracted,383706436069.87,337340219.1776
2025-04-03,Wekeza Maisha Fund,1000.9482,980.9292,1000.9482,utt-amis,extracted,21478054571.4902,21457708.1846
2025-04-03,Watoto Fund,739.2469,731.8544,739.2469,utt-amis,extracted,27798184231.7614,37603385.0519
2025-04-03,Jikimu Fund,183.8454,180.1685,183.8454,utt-amis,extracted,35074418675.7983,190782091.6773
2025-04-03,Liquid Fund,446.8109,446.8109,446.8109,utt-amis,extracted,1558156148722.68,3487283139.3376
2025-04-03,Bond Fund,120.0299,120.0299,120.0299,utt-amis,extracted,843699730008.178,7029082372.5094
2025-04-03,Umoja Fund,1137.4465,1126.072,1137.4465,utt-amis,extracted,383706436069.87,337340219.1776
2025-04-03,Wekeza Maisha Fund,1000.9482,980.9292,1000.9482,utt-amis,extracted,21478054571.4902,21457708.1846
